date,league,home_team,away_team,predicted,actual,correct,home_prob,draw_prob,away_prob,home_odds,draw_odds,away_odds
2026-01-09,Bundesliga,Eintracht Frankfurt,Borussia Dortmund,Home Win,Draw,False,0.512,0.225,0.262,1.953125,4.444444444444445,3.8167938931297707
2026-01-09,La Liga 2,Cádiz,Sporting Gijón,Home Win,Home Win,True,0.513,0.302,0.185,1.949317738791423,3.3112582781456954,5.405405405405405
2026-01-09,FA Cup,Milton Keynes Dons,Oxford United,Away Win,Draw,False,0.301,0.28600000000000003,0.413,3.3222591362126246,3.4965034965034962,2.4213075060532687
2026-01-09,FA Cup,Wrexham,Nottingham Forest,Home Win,Draw,False,0.56,0.245,0.195,1.7857142857142856,4.081632653061225,5.128205128205128
2026-01-09,FA Cup,Preston North End,Wigan Athletic,Home Win,Away Win,False,0.42100000000000004,0.299,0.281,2.375296912114014,3.3444816053511706,3.558718861209964
2026-01-09,FA Cup,Port Vale,Fleetwood Town,Home Win,Home Win,True,0.39299999999999996,0.28800000000000003,0.32,2.544529262086514,3.472222222222222,3.125
2026-01-09,La Liga,Getafe,Real Sociedad,Home Win,Away Win,False,0.527,0.297,0.17600000000000002,1.8975332068311195,3.367003367003367,5.681818181818182
2026-01-10,FA Cup,Macclesfield,Crystal Palace,Home Win,Home Win,True,0.5379999999999999,0.237,0.225,1.8587360594795541,4.219409282700422,4.444444444444445
2026-01-10,FA Cup,Cheltenham Town,Leicester City,Home Win,Away Win,False,0.40399999999999997,0.263,0.33299999999999996,2.4752475247524752,3.8022813688212924,3.0030030030030033
2026-01-10,FA Cup,Everton,Sunderland,Home Win,Draw,False,0.501,0.251,0.248,1.996007984031936,3.9840637450199203,4.032258064516129
2026-01-10,FA Cup,Wolverhampton Wanderers,Shrewsbury Town,Home Win,Home Win,True,0.364,0.287,0.35,2.7472527472527473,3.4843205574912894,2.857142857142857
2026-01-10,La Liga,Real Oviedo,Real Betis,Away Win,Draw,False,0.36200000000000004,0.263,0.375,2.762430939226519,3.8022813688212924,2.6666666666666665
