team,elo_rating
Paris SG,1829.3471216981543
Liverpool,1814.3062496622217
Man City,1798.3372582373333
Inter,1797.1616284597992
Barcelona,1797.1256635592927
Arsenal,1796.1647392001887
Bayern Munich,1793.3938514686631
Real Madrid,1772.7003472320412
Leverkusen,1740.2609124007254
Napoli,1710.1061660573866
Atalanta,1707.1331972347168
Chelsea,1695.638989408495
Ath Madrid,1687.5205194603504
Juventus,1683.6259621883792
Leeds,1682.870411907829
Roma,1681.3362345565736
Newcastle,1680.420519288093
Aston Villa,1679.095102704009
Burnley,1663.612118420164
Dortmund,1661.984550247962
Monaco,1661.1704037906356
Milan,1654.0643757901244
Ath Bilbao,1651.8570821659698
Lille,1648.6996058403952
Crystal Palace,1647.4803164584257
Nice,1645.1187210830049
Brighton,1644.5101639642337
Marseille,1640.3855968167313
Villarreal,1639.4519102327683
Lazio,1631.9793114984932
Lyon,1630.1872973434033
Fiorentina,1629.5213034772207
Bournemouth,1619.9664450612129
Ein Frankfurt,1618.6704368502237
Nott'm Forest,1618.4117859819053
Brentford,1616.631777483523
Bologna,1612.762475687696
RB Leipzig,1605.5623958971205
Stuttgart,1602.4578753268963
Everton,1597.516849797752
Strasbourg,1594.6595239106753
Fulham,1583.1653616069705
Betis,1582.2500706642852
Lens,1578.1745610326636
Mainz,1577.972413447119
Brest,1559.4463249410242
Werder Bremen,1546.194747671837
Man United,1544.740075750688
Freiburg,1544.2233614883044
Como,1542.7905041018007
West Ham,1538.6365597466424
Sheffield United,1537.9925625380422
Osasuna,1536.0439935615539
Rennes,1535.675808796064
Tottenham,1532.225909472028
Wolves,1528.5493352298868
Celta,1527.0474087244008
Toulouse,1523.649323902803
Torino,1514.7020105721306
Valencia,1513.2733327093786
Genoa,1506.0894395440805
Auxerre,1502.5966685648766
Wolfsburg,1501.509375812664
Coventry,1498.4645929948465
Sociedad,1496.07414658051
Vallecano,1494.1723485972707
Bristol City,1493.0295295810888
M'gladbach,1487.287520003453
Augsburg,1478.1328159018567
West Brom,1475.7876701705763
Girona,1475.6755916018042
Mallorca,1472.555053685856
Alaves,1471.7412422563016
Middlesbrough,1470.8868018084793
Sunderland,1469.0667152156238
Espanol,1466.4233163516644
Millwall,1466.0301051764004
Hoffenheim,1460.8499463488904
Union Berlin,1460.7168360821481
Levante,1459.8912318037985
Sevilla,1457.504352655569
Huesca,1455.6866466089289
Udinese,1453.7147119667884
Charlton,1452.8131248185389
Getafe,1450.9563094791556
Amiens,1450.8613518724148
Frosinone,1450.4500233488184
Nantes,1448.914709679663
Wycombe,1448.8102041675963
Reims,1448.664370918857
Fortuna Dusseldorf,1448.0635719786453
Blackburn,1448.062468226497
Swansea,1447.5476215684064
Portsmouth,1447.4051671654252
Leganes,1447.2925643610542
St Pauli,1447.159074321329
Lorient,1438.285384229735
Cagliari,1437.0486078797546
Parma,1436.2875605428246
Nimes,1435.5853806764528
Norwich,1435.0200871864947
Sheffield Weds,1431.5883308082634
Bielefeld,1430.3755933601572
Cremonese,1428.5102414755465
QPR,1426.7262359656365
Eibar,1426.1494473693772
FC Koln,1424.7599390017308
Hull,1423.5261670435518
Oxford,1423.3015612036884
Le Havre,1421.667409697922
Verona,1421.6449264221174
Clermont,1421.6086383053482
Ipswich,1420.956091596105
Heidenheim,1420.8582359555176
Lecce,1420.2719974970767
Leicester,1419.7351797365884
Bordeaux,1418.7107927531463
Derby,1418.537675573094
Benevento,1418.166589998767
Cadiz,1414.2494135101626
Spezia,1410.3080553161587
Empoli,1408.615982586711
Holstein Kiel,1408.1141366150123
St Etienne,1407.7021481209342
Sassuolo,1406.7711234709548
Paderborn,1406.4391502436015
Elche,1405.5568563801635
Metz,1405.4029861973095
Brescia,1404.82492109943
Stoke,1404.6712479623636
Crotone,1404.0135833707177
Luton,1402.0563073317512
Schalke 04,1401.0619306614674
Hertha,1399.7377940527897
Wigan,1398.8064443419794
Preston,1398.470894930994
Watford,1397.6147061929075
Peterboro,1397.5372205699807
Venezia,1396.6949575717401
Greuther Furth,1396.4133542610996
Angers,1392.8475093715692
Las Palmas,1391.236656294196
Reading,1388.6521076643673
Birmingham,1386.9265630576926
Bochum,1384.9127143730261
Dijon,1382.625089004319
Troyes,1380.8995841376468
Almeria,1379.6221838907773
Spal,1377.3072042671622
Plymouth,1376.189576816757
Ajaccio,1375.42723547482
Blackpool,1373.7210235118628
Huddersfield,1369.5365522764828
Sampdoria,1368.022521316776
Barnsley,1367.4940247737582
Granada,1356.2760341201426
Darmstadt,1352.8874662277601
Southampton,1351.176012636667
Cardiff,1350.9558677401117
Salernitana,1347.4976022287678
Monza,1338.5767804714856
Montpellier,1321.6864518394298
Rotherham,1298.623588265778
Valladolid,1271.6662761432272
