match_id,date,season,league_code,league_name,home_team,away_team,home_goals,away_goals,result,ht_home_goals,ht_away_goals,ht_result,home_team_normalized,away_team_normalized,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_corners,away_corners,home_fouls,away_fouls,home_yellows,away_yellows,home_reds,away_reds,best_odds_home,avg_odds_home,best_odds_draw,avg_odds_draw,best_odds_away,avg_odds_away,source_file
1,2019-08-02,2019-2020,E1,Championship,Luton,Middlesbrough,3,3,D,2.0,2.0,D,luton,middlesbrough,12.0,17.0,4.0,8.0,8.0,11.0,14.0,20.0,2.0,2.0,0.0,0.0,2.45,2.2029166666666664,3.42,3.3099999999999996,3.4,2.8204166666666666,E1_1920.csv
2,2019-08-03,2019-2020,E1,Championship,Nott'm Forest,West Brom,1,2,A,1.0,2.0,A,nott'm forest,west brom,15.0,12.0,4.0,3.0,9.0,5.0,8.0,6.0,0.0,1.0,0.0,0.0,2.55,2.344583333333333,3.4,3.305625,3.15,2.6041666666666665,E1_1920.csv
3,2019-08-03,2019-2020,E1,Championship,Wigan,Cardiff,3,2,H,0.0,1.0,A,wigan,cardiff,12.0,13.0,4.0,4.0,6.0,6.0,9.0,15.0,2.0,4.0,0.0,0.0,3.15,2.60375,3.4,3.270625,2.56,2.362083333333333,E1_1920.csv
4,2019-08-03,2019-2020,E1,Championship,Swansea,Hull,2,1,H,0.0,1.0,A,swansea,hull,19.0,12.0,8.0,4.0,10.0,4.0,9.0,10.0,2.0,2.0,0.0,0.0,2.12,1.9645833333333336,3.9,3.610625,4.42,3.31125,E1_1920.csv
5,2019-08-03,2019-2020,E1,Championship,Stoke,QPR,1,2,A,0.0,1.0,A,stoke,qpr,13.0,5.0,1.0,3.0,7.0,0.0,18.0,14.0,1.0,3.0,0.0,0.0,2.11,1.89375,3.65,3.50875,5.5,3.9575,E1_1920.csv
6,2019-08-03,2019-2020,E1,Championship,Barnsley,Fulham,1,0,H,1.0,0.0,H,barnsley,fulham,17.0,15.0,4.0,4.0,7.0,5.0,16.0,14.0,3.0,1.0,0.0,0.0,3.75,2.9458333333333333,3.66,3.546875,2.25,2.060416666666667,E1_1920.csv
7,2019-08-03,2019-2020,E1,Championship,Millwall,Preston,1,0,H,1.0,0.0,H,millwall,preston,8.0,5.0,3.0,0.0,8.0,7.0,11.0,18.0,2.0,3.0,0.0,0.0,2.65,2.40375,3.4,3.235,3.2,2.569166666666667,E1_1920.csv
8,2019-08-03,2019-2020,E1,Championship,Brentford,Birmingham,0,1,A,0.0,1.0,A,brentford,birmingham,15.0,1.0,3.0,1.0,6.0,2.0,10.0,12.0,1.0,3.0,0.0,0.0,2.03,1.8783333333333332,4.0,3.669375,5.5,3.705833333333333,E1_1920.csv
9,2019-08-03,2019-2020,E1,Championship,Blackburn,Charlton,1,2,A,0.0,1.0,A,blackburn,charlton,14.0,9.0,2.0,5.0,12.0,2.0,15.0,13.0,0.0,3.0,0.0,0.0,2.1,1.8212499999999998,3.92,3.751875,5.75,4.0025,E1_1920.csv
10,2019-08-03,2019-2020,E1,Championship,Reading,Sheffield Weds,1,3,A,0.0,1.0,A,reading,sheffield weds,13.0,13.0,4.0,5.0,7.0,3.0,12.0,15.0,0.0,3.0,0.0,1.0,2.9,2.482083333333333,3.4,3.24375,3.0,2.4858333333333333,E1_1920.csv
