event_id,commence_time,home_team,away_team,bookmaker,home_odds,draw_odds,away_odds,last_update
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,betclic_fr,2.58,2.72,3.28,2026-01-18T03:43:02Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,onexbet,2.7,2.78,3.5,2026-01-18T03:42:54Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,unibet_fr,2.52,2.75,3.32,2026-01-18T03:42:40Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,unibet_uk,2.6,2.7,3.25,2026-01-18T03:43:47Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,winamax_de,2.6,2.75,3.25,2026-01-18T03:43:09Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,codere_it,2.65,2.7,3.3,2026-01-18T03:43:08Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,pmu_fr,2.5,2.6,3.25,2026-01-18T03:42:40Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,parionssport_fr,2.55,2.75,3.3,2026-01-18T03:42:55Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,betsson,2.68,2.72,3.25,2026-01-18T03:42:55Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,winamax_fr,2.55,2.65,3.15,2026-01-18T03:43:35Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,nordicbet,2.68,2.72,3.25,2026-01-18T03:42:42Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,marathonbet,2.66,2.74,3.44,2026-01-18T03:43:22Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,paddypower,2.6,2.62,3.3,2026-01-18T03:41:47Z
137fef737a82bc36ead5fb9442f68eaf,2026-01-18T13:00:00Z,Getafe,Valencia,skybet,2.5,2.7,3.3,2026-01-18T03:43:23Z
