event_id,fixture_id,participant_id,player_id,related_player_id,type_id,minute,extra_minute,result,info,player_name
32421311,10332761,69,320.0,172757.0,18,62,,,,Danny Ward
32421354,10332761,52,1065.0,,17,34,,,,Callum Wilson
32421308,10332761,52,2712.0,1065.0,14,24,,1-0,,Ryan Fraser
32421310,10332761,52,1065.0,1052.0,14,90,1.0,2-0,,Callum Wilson
76455766,10332761,52,4901.0,1065.0,18,90,4.0,,,Lys Mousset
76455772,10332761,52,31.0,1095.0,18,90,3.0,,,Jermain Defoe
76455773,10332761,69,2610.0,3140.0,18,88,,,,Gary Madine
76455774,10332761,52,1052.0,9808.0,18,67,,,,Simon Francis
76455775,10332761,69,2872.0,3519.0,18,63,,,,Josh Murphy
32421345,10332761,52,1054.0,,19,43,,,Tripping,C. Daniels
32421339,10332761,69,2303.0,,19,3,,,Holding,Lee Peltier
32421417,10332762,9,802.0,96183.0,14,14,,0-1,,Raheem Sterling 
32421461,10332762,9,1371.0,971.0,18,60,,,,Kevin De Bruyne
32421451,10332762,19,95334.0,569.0,18,54,,,,Alexandre Lacazette
32421427,10332762,9,96353.0,96183.0,14,64,,0-2,,Bernardo Silva
32421470,10332762,19,130022.0,1887.0,18,70,,,,Lucas Torreira
32421486,10332762,9,4783.0,802.0,18,87,,,,Leroy Sané
32421482,10332762,9,5329.0,1359.0,18,79,,,,Gabriel Jesus 
32421441,10332762,19,94469.0,4344.0,18,35,,,,Stephan Lichtsteiner
32421524,10332762,19,1887.0,,19,52,,,Tripping,Granit Xhaka
32421513,10332762,19,31049.0,,19,27,,,Tripping,Sokratis Papastathopoulos
32421537,10332762,9,1371.0,,19,73,,,Roughing,Kevin De Bruyne
32421495,10332762,9,802.0,,19,4,,,Tripping,Raheem Sterling 
32421343,10332763,51,1243.0,1249.0,18,88,,,,Cheikhou Kouyaté 
32421336,10332763,51,25514.0,853.0,18,83,,,,Alexander Sörloth
32421329,10332763,11,7007.0,96518.0,18,82,,,,Stefan Johansen
32421313,10332763,51,1108.0,5252.0,14,79,,0-2,,Wilfried Zaha
32421322,10332763,11,186488.0,3160.0,18,71,,,,Luciano Vietto
32421317,10332763,11,63093.0,1372.0,18,61,,,,Aboubakar Kamara
32421309,10332763,51,927.0,712.0,14,41,,0-1,,Jeffrey Schlupp
32421355,10332763,51,1111.0,712.0,18,90,2.0,,,Pape Souaré
32421366,10332763,51,1108.0,,19,40,,,Elbowing,Wilfried Zaha
32421371,10332763,51,927.0,,19,74,,,Unsportsmanlike conduct,Jeffrey Schlupp
32421362,10332763,11,1840.0,,19,34,,,Tripping,Kevin McDonald
32421364,10332764,18,1331.0,1317.0,18,76,,,,Eden Hazard
32421346,10332764,251,62250.0,2829.0,18,46,,,,Laurent Depoitre
32421331,10332764,18,129511.0,,16,45,,0-2,,Jorginho
32421338,10332764,18,1923.0,1331.0,14,80,,0-3,,Pedro
32421373,10332764,18,496.0,1923.0,18,81,,,,Victor Moses 
32421358,10332764,251,96775.0,3289.0,18,71,,,,Adama Diakhaby
32421351,10332764,18,1953.0,968.0,18,68,,,,Ruben Loftus-Cheek 
32421326,10332764,18,1193.0,1317.0,14,34,,0-1,,N'Golo Kanté 
32421393,10332764,251,24508.0,,19,83,,,Roughing,Terence Kongolo
32421384,10332764,18,1333.0,,19,69,,,Holding,David Luiz
32421380,10332764,251,3291.0,,19,44,,,Roughing,Christopher Schindler
32421464,10332765,1,870.0,5273.0,18,46,,,,Robert Snodgrass
32421503,10332765,8,323.0,1461.0,18,69,,,,Jordan Henderson
32421512,10332765,8,1714.0,1389.0,18,82,,,,Xherdan Shaqiri
32421521,10332765,8,622.0,4125.0,18,87,,,,Daniel Sturridge
32421457,10332765,8,622.0,197.0,14,88,,4-0,,Daniel Sturridge
32421444,10332765,8,1389.0,1461.0,14,53,,3-0,,Sadio Mané 
32421426,10332765,8,4125.0,1078.0,14,19,,1-0,,Mohamed Salah
32421475,10332765,1,736.0,129454.0,18,62,,,,Chicharito
32421490,10332765,1,204697.0,1139.0,18,67,,,,Andriy Yarmolenko
32421434,10332765,8,1389.0,197.0,14,45,2.0,2-0,,Sadio Mané 
32421545,10332765,1,1922.0,,19,52,,,Tripping,Michail Antonio
32421532,10332765,8,1917.0,,19,21,,,Roughing,Trent Alexander-Arnold
32421557,10332765,1,219591.0,,19,55,,,,F. Balbuena
32421357,10332766,14,455376.0,205411.0,18,76,,,,Scott McTominay
32421349,10332766,14,995.0,1878.0,18,67,,,,Romelu Lukaku 
32421319,10332766,14,955.0,846.0,14,83,,2-0,,Luke Shaw
32421325,10332766,42,1182.0,,14,90,2.0,2-1,,Jamie Vardy
32421332,10332766,42,95860.0,1573.0,18,63,,,,Rachid Ghezzal 
32421369,10332766,42,185870.0,124871.0,18,80,,,,Vicente Iborra
32421374,10332766,14,420.0,1992.0,18,84,,,,Marouane Fellaini
32421342,10332766,42,1182.0,6838.0,18,63,,,,Jamie Vardy
32421314,10332766,14,1992.0,,16,3,,1-0,,Paul Pogba 
32421385,10332766,14,205411.0,,19,54,,,Unsportsmanlike conduct,Fred
32421390,10332766,14,1004.0,,19,69,,,Foul,Andreas Pereira
32421378,10332766,42,1573.0,,19,51,,,Foul,Daniel Amartey
32421365,10332767,20,32391.0,1396.0,18,81,,,,Yoshinori Muto
32421344,10332767,6,852.0,95998.0,18,68,,,,Mousa Dembélé
32421359,10332767,6,4313.0,922.0,18,80,,,,Heung-min Son
32421337,10332767,20,1651.0,1468.0,18,59,,,,S. Rondón
32421333,10332767,6,922.0,95094.0,14,18,,1-2,,Dele Alli
32421350,10332767,20,1015.0,1061.0,18,69,,,,Christian Atsu
32421372,10332767,6,10680.0,916.0,18,88,,,,Luke Amos
32421323,10332767,20,1468.0,1061.0,14,11,,1-1,,Joselu
32421318,10332767,6,915.0,26294.0,14,8,,0-1,,Jan Vertonghen
32421389,10332767,20,1468.0,,19,58,,,Roughing,Joselu
32421379,10332767,6,916.0,,19,42,,,Roughing,Eric Dier
32421395,10332767,20,493.0,,19,90,4.0,,Roughing,Mohamed Diamé
32421391,10332767,6,997.0,,19,68,,,Holding,Harry Kane
32421361,10332768,65,5361.0,1068.0,18,72,,,,Manolo Gabbiadini
32421356,10332768,65,1450.0,172357.0,18,56,,,,D. Ings
32421348,10332768,65,150759.0,1362.0,18,56,,,,Mohamed Elyounoussi
32421383,10332768,27,3300.0,1611.0,18,87,,,,Charlie Taylor
32421367,10332768,27,505.0,914.0,18,73,,,,Sam Vokes
32421377,10332768,27,1448.0,2361.0,18,76,,,,A. Barnes
32421388,10332768,27,1156.0,,19,15,,,Holding,J. Cork
32421368,10332769,25,191301.0,2332.0,18,81,,,,Ken Sema
32421340,10332769,78,2936.0,2922.0,18,26,,,,Gaëtan Bong
32421363,10332769,25,4766.0,1625.0,18,74,,,,Isaac Success
32421347,10332769,78,96870.0,31504.0,18,60,,,,Yves Bissouma
32421335,10332769,25,4764.0,1253.0,14,54,,2-0,,Roberto Pereyra
32421328,10332769,25,4764.0,1253.0,14,35,,1-0,,Roberto Pereyra
32421375,10332769,25,185579.0,4764.0,18,87,,,,Kiko Femenía
32421353,10332769,78,25147.0,2423.0,18,71,,,,Alireza Jahanbakhsh
32421396,10332769,78,32666.0,,19,81,,,Tripping,Bernardo
32421392,10332769,25,1253.0,,19,73,,,Holding,José Holebas
32421386,10332769,25,1276.0,,19,64,,,Holding,Étienne Capoue
32421381,10332769,78,2723.0,,19,18,,,Tripping,Dale Stephens
32421352,10332770,29,160116.0,6563.0,18,71,,,,Léo Bonatini
32421382,10332770,13,95368.0,219633.0,18,86,,,,L. Digne
32421330,10332770,29,160217.0,159699.0,14,80,,2-2,,Raúl Jiménez
32421315,10332770,13,219633.0,881.0,14,17,,0-1,,Richarlison
32421324,10332770,13,219633.0,45863.0,14,67,,1-2,,Richarlison
32421320,10332770,29,159699.0,,14,44,,1-1,,Rúben Neves
32421370,10332770,13,4607.0,45863.0,18,81,,,,Oumar Niasse
32421376,10332770,29,7926.0,96102.0,18,85,,,,M. Gibbs-White
