date,fixture_id,home_team,away_team,p_home,p_draw,p_away,bet_outcome,bet_odds,bet_probability,actual_outcome,actual_score,won,pnl,stake
2026-01-01,19432040,Ipswich Town,Oxford United,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.37,0.5486609935760498,home,2-1,True,37.0,100
2026-01-01,19432041,Preston North End,Sheffield Wednesday,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.53,0.5486609935760498,home,3-0,True,53.0,100
2026-01-01,19427641,Liverpool,Leeds United,0.5378584265708923,0.22703100740909576,0.23511047661304474,home,1.49,0.5378584265708923,draw,0-0,False,-100.0,100
2026-01-01,19427637,Brentford,Tottenham Hotspur,0.5486609935760498,0.244191512465477,0.2071475088596344,home,2.45,0.5486609935760498,draw,0-0,False,-100.0,100
2026-01-02,19439426,Rayo Vallecano,Getafe,0.5780542492866516,0.2780870199203491,0.14385874569416046,home,2.05,0.5780542492866516,draw,1-1,False,-100.0,100
2026-01-03,19425053,Como,Udinese,0.5486609935760498,0.244191512465477,0.2071475088596344,home,1.76,0.5486609935760498,home,1-0,True,76.0,100
2026-01-03,19427646,Aston Villa,Nottingham Forest,0.5808557271957397,0.21681705117225647,0.20232726633548737,home,1.85,0.5808557271957397,home,3-1,True,85.0,100
2026-01-03,19427655,Wolverhampton Wanderers,West Ham United,0.5973513126373291,0.28737032413482666,0.11527832597494125,home,2.63,0.5973513126373291,home,3-0,True,163.0,100
2026-01-03,19427648,Brighton & Hove Albion,Burnley,0.5263384580612183,0.24358676373958588,0.23007483780384064,home,1.45,0.5263384580612183,home,2-0,True,45.0,100
2026-01-03,19439425,Osasuna,Athletic Club,0.6062460541725159,0.29164937138557434,0.10210459679365158,home,2.9,0.6062460541725159,draw,1-1,False,-100.0,100
2026-01-03,19425058,Juventus,Lecce,0.6723760962486267,0.19867956638336182,0.12894435226917267,home,1.22,0.6723760962486267,draw,1-1,False,-100.0,100
2026-01-03,19427647,AFC Bournemouth,Arsenal,0.2047855406999588,0.12366186827421188,0.6715525984764099,away,1.48,0.6715525984764099,away,2-3,True,48.0,100
2026-01-03,19425051,Atalanta,Roma,0.5152773857116699,0.25396233797073364,0.2307603508234024,home,2.3,0.5152773857116699,home,1-0,True,129.99999999999997,100
2026-01-04,19432057,Queens Park Rangers,Sheffield Wednesday,0.5389721393585205,0.24943354725837708,0.21159431338310242,home,1.33,0.5389721393585205,home,3-0,True,33.0,100
