home_thresh,draw_thresh,away_thresh,bets,bet_freq,bets_per_day,win_rate,roi,profit,home_bets,draw_bets,away_bets
0.5,0.35,0.55,75,37.5,3.716666666666667,64.0,16.266666666666666,1220.0,65,5,5
0.5,0.35,0.6,71,35.5,3.5184444444444445,64.7887323943662,18.971830985915496,1347.0,65,5,1
0.5,0.35,0.65,71,35.5,3.5184444444444445,64.7887323943662,18.971830985915496,1347.0,65,5,1
0.5,0.35,0.7,70,35.0,3.468888888888889,64.28571428571429,18.885714285714286,1322.0,65,5,0
0.5,0.4,0.55,70,35.0,3.468888888888889,67.14285714285714,20.5,1435.0,65,0,5
0.5,0.4,0.6,66,33.0,3.270666666666667,68.18181818181817,23.666666666666668,1562.0,65,0,1
0.5,0.4,0.65,66,33.0,3.270666666666667,68.18181818181817,23.666666666666668,1562.0,65,0,1
0.5,0.4,0.7,65,32.5,3.2211111111111115,67.6923076923077,23.646153846153847,1537.0,65,0,0
0.5,0.45,0.55,70,35.0,3.468888888888889,67.14285714285714,20.5,1435.0,65,0,5
0.5,0.45,0.6,66,33.0,3.270666666666667,68.18181818181817,23.666666666666668,1562.0,65,0,1
0.5,0.45,0.65,66,33.0,3.270666666666667,68.18181818181817,23.666666666666668,1562.0,65,0,1
0.5,0.45,0.7,65,32.5,3.2211111111111115,67.6923076923077,23.646153846153847,1537.0,65,0,0
0.5,0.5,0.55,70,35.0,3.468888888888889,67.14285714285714,20.5,1435.0,65,0,5
0.5,0.5,0.6,66,33.0,3.270666666666667,68.18181818181817,23.666666666666668,1562.0,65,0,1
0.5,0.5,0.65,66,33.0,3.270666666666667,68.18181818181817,23.666666666666668,1562.0,65,0,1
0.5,0.5,0.7,65,32.5,3.2211111111111115,67.6923076923077,23.646153846153847,1537.0,65,0,0
0.55,0.35,0.55,39,19.5,1.9326666666666668,61.53846153846154,2.6923076923076925,105.0,28,6,5
0.55,0.35,0.6,35,17.5,1.7344444444444445,62.857142857142854,6.628571428571428,232.0,28,6,1
0.55,0.35,0.65,35,17.5,1.7344444444444445,62.857142857142854,6.628571428571428,232.0,28,6,1
0.55,0.35,0.7,34,17.0,1.684888888888889,61.76470588235294,6.088235294117647,207.0,28,6,0
0.55,0.4,0.55,33,16.5,1.6353333333333335,69.6969696969697,12.727272727272727,420.0,28,0,5
