iter	Passed	Remaining
0	37	22679
1	73	22011
2	113	22470
3	156	23262
4	200	23868
5	241	23871
6	283	23964
7	328	24243
8	369	24255
9	409	24147
10	449	24047
11	493	24129
12	536	24165
13	574	24013
14	612	23828
15	647	23608
16	687	23536
17	730	23582
18	771	23553
19	802	23228
20	839	23111
21	877	23018
22	915	22916
23	951	22792
24	989	22725
25	1028	22663
26	1065	22577
27	1105	22537
28	1160	22816
29	1201	22791
30	1251	22929
31	1292	22902
32	1333	22878
33	1369	22756
34	1410	22736
35	1450	22681
36	1489	22621
37	1525	22526
38	1562	22429
39	1599	22349
40	1635	22253
41	1675	22217
42	1717	22212
43	1760	22200
44	1799	22157
45	1844	22169
46	1883	22125
47	1924	22089
48	1961	22020
49	2000	21963
50	2043	21960
51	2083	21917
52	2120	21841
53	2159	21791
54	2195	21712
55	2234	21663
56	2272	21605
57	2309	21546
58	2349	21501
59	2388	21454
60	2429	21425
61	2468	21379
62	2505	21316
63	2544	21268
64	2583	21225
65	2624	21196
66	2663	21152
67	2704	21122
68	2747	21102
69	2785	21048
70	2824	21004
71	2862	20949
72	2903	20918
73	2946	20903
74	2985	20858
75	3026	20829
76	3063	20769
77	3097	20687
78	3140	20669
79	3183	20654
80	3220	20597
81	3260	20558
82	3298	20503
83	3339	20474
84	3377	20423
85	3413	20362
86	3454	20332
87	3491	20275
88	3532	20244
89	3570	20190
90	3607	20138
91	3644	20085
92	3680	20026
93	3716	19965
94	3755	19921
95	3794	19882
96	3830	19824
97	3867	19772
98	3907	19736
99	3950	19712
100	3985	19650
101	4020	19587
102	4059	19548
103	4100	19514
104	4138	19472
105	4176	19424
106	4213	19373
107	4249	19319
108	4288	19276
109	4329	19245
110	4368	19204
111	4409	19171
112	4445	19117
113	4484	19078
114	4529	19063
115	4571	19035
116	4612	19000
117	4654	18973
118	4695	18939
119	4737	18912
120	4779	18879
121	4820	18845
122	4862	18815
123	4904	18786
124	4946	18757
125	4983	18707
126	5023	18670
127	5064	18636
128	5099	18579
129	5139	18542
130	5177	18498
131	5216	18456
132	5251	18401
133	5291	18362
134	5332	18328
135	5401	18389
136	5438	18339
137	5478	18301
138	5518	18262
139	5556	18216
140	5594	18173
141	5633	18131
142	5674	18096
143	5717	18066
144	5759	18034
145	5794	17980
146	5832	17933
147	5869	17887
148	5909	17846
149	5952	17816
150	5991	17775
151	6029	17731
152	6068	17690
153	6104	17640
154	6148	17612
155	6187	17572
156	6222	17517
157	6262	17480
158	6301	17438
159	6343	17404
160	6383	17366
161	6421	17322
162	6462	17285
163	6497	17233
164	6540	17204
165	6579	17162
166	6621	17128
167	6661	17089
168	6703	17055
169	6747	17028
170	6783	16979
171	6822	16936
172	6860	16893
173	6900	16853
174	6937	16809
175	6973	16760
176	7011	16716
177	7054	16685
178	7109	16680
179	7156	16658
180	7199	16626
181	7241	16590
182	7279	16547
183	7324	16520
184	7365	16483
185	7400	16431
186	7438	16388
187	7478	16348
188	7516	16304
189	7555	16263
190	7604	16243
191	7654	16225
192	7694	16185
193	7736	16150
194	7775	16109
195	7812	16063
196	7849	16018
197	7890	15980
198	7927	15935
199	7973	15906
200	8012	15865
201	8050	15821
202	8088	15777
203	8129	15741
204	8166	15696
205	8204	15652
206	8248	15620
207	8287	15578
208	8330	15544
209	8369	15503
210	8411	15467
211	8449	15425
212	8488	15382
213	8528	15342
214	8567	15302
215	8631	15304
216	8670	15263
217	8710	15222
218	8753	15187
219	8795	15152
220	8836	15114
221	8877	15075
222	8918	15038
223	8965	15010
224	9003	14965
225	9042	14924
226	9080	14880
227	9121	14842
228	9159	14799
229	9198	14757
230	9239	14718
231	9279	14678
232	9319	14639
233	9356	14594
234	9396	14554
235	9430	14504
236	9469	14464
237	9508	14422
238	9550	14385
239	9587	14340
240	9626	14299
241	9679	14279
242	9726	14248
243	9767	14210
244	9810	14174
245	9849	14133
246	9888	14091
247	9925	14048
248	9968	14011
249	10008	13971
250	10044	13925
251	10079	13879
252	10116	13835
253	10159	13799
254	10196	13755
255	10235	13714
256	10275	13674
257	10311	13628
258	10348	13584
259	10388	13545
260	10425	13500
261	10463	13458
262	10497	13411
263	10536	13370
264	10574	13327
265	10612	13285
266	10650	13243
267	10689	13202
268	10725	13158
269	10764	13116
270	10800	13072
271	10837	13028
272	10876	12988
273	10913	12944
274	10950	12901
275	10985	12855
276	11021	12812
277	11063	12774
278	11103	12735
279	11140	12692
280	11176	12648
281	11216	12609
282	11255	12568
283	11294	12527
284	11332	12485
285	11369	12442
286	11406	12399
287	11445	12359
288	11483	12317
289	11523	12278
290	11558	12233
291	11597	12193
292	11637	12153
293	11674	12111
294	11712	12070
295	11752	12030
296	11790	11989
297	11830	11949
298	11865	11904
299	11903	11863
300	11939	11820
301	11974	11776
302	12010	11733
303	12047	11690
304	12082	11647
305	12121	11606
306	12157	11563
307	12194	11521
308	12230	11478
309	12268	11437
310	12308	11398
311	12346	11356
312	12385	11316
313	12423	11275
314	12462	11236
315	12502	11196
316	12538	11154
317	12575	11112
318	12613	11071
319	12650	11029
320	12689	10989
321	12729	10950
322	12768	10910
323	12808	10871
324	12841	10826
325	12879	10785
326	12916	10744
327	12953	10702
328	12994	10664
329	13033	10624
330	13075	10586
331	13119	10551
332	13161	10513
333	13197	10471
334	13235	10430
335	13275	10391
336	13309	10347
337	13346	10306
338	13384	10265
339	13418	10221
340	13458	10182
341	13497	10142
342	13535	10102
343	13581	10067
344	13630	10035
345	13679	10002
346	13747	9983
